video_id,publish_time,views
8-Cjsnq8kVU,2017-11-15T14:01:03.000Z,3979891
hpapqEeb36k,2017-11-15T14:52:38.000Z,387902
cmoknv58jjE,2017-11-14T21:00:02.000Z,1803724
sottGW1p5os,2017-11-15T06:42:14.000Z,3621389
cxMvzK2OQTw,2017-11-14T16:43:11.000Z,1012513
EEIP1YpFXrE,2017-11-15T20:00:00.000Z,224426
YvfYK0EEhK4,2017-11-14T15:32:51.000Z,1147169
dUMH6DVYskc,2017-11-14T12:02:49.000Z,1362421
pgjRX9oGF7g,2017-11-15T07:55:04.000Z,593969
bAkEd8r7Nnw,2017-11-14T18:31:20.000Z,2916453
_BVAJ3PXZ1k,2017-11-15T11:30:00.000Z,533940
8hKbIhrb1WU,2017-11-15T14:00:02.000Z,1559003
ItYOdWRo0JY,2017-11-14T00:45:15.000Z,2900560
RTaDvKMtUeA,2017-11-15T05:15:45.000Z,760341
5530I_pYjbo,2017-11-14T12:06:56.000Z,1961066
jG1JY0rt2Os,2017-11-15T05:00:02.000Z,1258937
RrhSJzM8NLE,2017-11-15T13:10:12.000Z,133212
xL_qpDkF5A8,2017-11-15T01:25:18.000Z,235655
0gwkMY-mzUQ,2017-11-15T20:11:41.000Z,208117
UwdLlnPaRAU,2017-11-15T17:00:36.000Z,229515
ve3oQBjcAGI,2017-11-14T17:00:07.000Z,1496471
C4YNcqNF4hg,2017-11-15T12:00:01.000Z,211596
gjXrm2Q-te4,2017-11-14T04:55:24.000Z,2223948
kgaO45SyaO4,2017-11-13T20:09:58.000Z,5531707
k1cA-Wh3Tc0,2017-11-15T00:00:03.000Z,623803
9SK1I0V6U5c,2017-11-14T18:01:03.000Z,1610930
Mn-3c6of8t8,2017-11-15T13:29:28.000Z,42571
eQVhAN7-IAw,2017-11-15T03:43:47.000Z,507753
TN5jzDgORqQ,2017-11-15T15:00:05.000Z,237107
9Ca8zWJOlFQ,2017-11-15T02:17:29.000Z,1825705
CtBca6H6Teg,2017-11-14T18:00:01.000Z,1251180
mcqWcLDUeag,2017-11-15T10:17:25.000Z,79863
4SANXNco_y4,2017-11-15T17:05:36.000Z,50934
#NAME?,2017-11-15T16:00:00.000Z,21740
pcWKpGzhgq4,2017-11-14T12:13:35.000Z,574778
L3br0klRqF4,2017-11-14T21:51:20.000Z,153220
oRF2-ZloSqg,2017-11-15T02:26:15.000Z,845763
g0K5QoEj7FQ,2017-11-14T22:34:14.000Z,42769
lzgQrHFDNLE,2017-11-14T22:00:01.000Z,177648
